# old_va new_va source_file:line | old_pattern -> new_pattern
# UNVERIFIED machine output: each line is a hypothesis, not a result.
00681540 00685F10 Game.zhl:74 | 558bec8b0d????????8b55??81c1bc5a0200 -> 558bec8b0d??????008b550881c1????020083fa0e73168b
006FC780 007009A0 Game.zhl:86 | 538bdc83ec0883e4f883c404558b6b??896c24??8bec6aff68????????64a1????????505381ecd8000000a1????????33c58945??5657508d45??64a3????????894d -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505381ec??000000a1b4????0033c58945ec5657508d45f464a30000000089??????????8b????8b????8b??
006F1BF0 006FBC10 Game.zhl:95 | 538bdc83ec0883e4f883c404558b6b??896c24??8bec6aff68????????64a1????????505381ece0000000a1????????33c58945??5657508d45??64a3????????8b43 -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505381ece0??0000a1b4????0033c58945ec5657508d45f464a3000000008b??????????????????????????????????????????????0000????????
006F3E10 006F7AC0 Game.zhl:107 | 558bec6aff68????????64a1????????5083ec54a1????????33c58945??535657508d45??64a3????????8bf9 -> 558bec6aff68??????0064a1000000005083ec54a1b4????0033c58945f0535657508d45f464a3000000008bf9??????????b9
007037A0 00707E10 Game.zhl:155 | 558bec83e4f883ec14f30f1005 -> 558bec83e4f883ec??f30f1005??????008b451c5356f30f
0099DE10 009C79A0 GameState.zhl:1 | 538bdc83ec0883e4f883c404558b6b??896c24??8bec6aff68????????64a1????????505381ecf8000000a1????????33c58945??5657508d45??64a3????????8bf989bd????????b835000000 -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505381ec??000000a1b4????0033c58945ec5657508d45f464a3000000008bf989bd2c
009A2240 009CC1A0 GameState.zhl:10 | 538bdc83ec0883e4f883c404558b6b??896c24??8bec6aff68????????64a1????????505381eca8060000 -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505381ec??060000a1b4????0033c58945ec5657508d45f464a3000000008bf189b5??f9ffff
0082CB90 00838210 GenericPrompt.zhl:15 | 8379??0074??8079??00 -> 837934007409807944007403b001c332c0c3cccccccccccc
0082CD70 00838380 GenericPrompt.zhl:18 | 558bec6aff68????????64a1????????5083ec28a1????????33c58945??535657508d45??64a3????????8bd98db3????????bf03000000ff36e8????????83c404c706000000008d76??83ef0175??6a1c -> 558bec6aff68??????0064a1000000005083ec28a1b4????0033c58945ec535657508d45f464a3000000008bd9????????00????????0000????????????
0082CBB0 00838230 GenericPrompt.zhl:27 | 558bec6aff68????????64a1????????5083ec30a1????????33c58945??535657508d45??64a3????????8bd9 -> 558bec6aff68??????0064a1000000005083ec??a1b4????0033c58945f0535657508d45f464a3000000008bd9895d??8b7514
0090A950 00930B20 Global.zhl:3370 | 558bec83e4f881eca4020000 -> 558bec83e4f881ec????0000a1b4????0033c4898424????0000833d??????00
00705110 00709E50 GridEntity.zhl:13 | 558bec83ec088b41 -> 558bec83ec088b41248b0d??????0099f30f1005??????00
0070C360 00711720 GridEntityDoor.zhl:28 | 558bec8b45??c70000000000 -> 558bec8b4508c70000000000c74004000000005dc20400cc
00710280 00715330 GridEntityPoop.zhl:14 | 558bec83e4f883ec5ca1????????33c4894424??538b5d??56578bf9 -> 558bec83e4f883ec??a1b4????0033c4894424??538b5d0c56578bf9c744
00713C30 00718FE0 GridEntityRock.zhl:33 | 558bec6aff68????????64a1????????5081eca8000000a1????????33c58945??5657 -> 558bec6aff68??????0064a1000000005081ec??000000a1b4????0033c58945f05657508d45f464a3000000008bf9897da88b47048b
007146E0 00719AD0 GridEntityRock.zhl:37 | 558bec83e4f881ecd4000000 -> 558bec83e4f881ecd40000005356578d4424208bf950e8??
00980C50 009A90B0 HUD.zhl:13 | 558bec8b55??33c0391174??4081c1e006000083f80872??5dc20400 -> 558bec8b550833c0391174104081c1??06000083f80872f05dc20400c6410c045d
0097B790 009A34A0 HUD.zhl:29 | 558bec5153565733c08d91????????90803a0074??4081c2f401000083f80672??5f5e5b595dc2100069c0f4010000 -> 558bec5153565733c08d91??3e000090803a0074144081c2f401000083f80672ef5f5e5b595dc21000????????????????
